id,lat,lng,confirmed,deaths,recovered,existing,Province/State,timestamp,country,Confirmed
Mainland China Anhui,31.8257,117.2264,1,0,0,1,Anhui,2020-01-22,Chine,1
Mainland China Anhui,31.8257,117.2264,9,0,0,9,Anhui,2020-01-23,Chine,9
Mainland China Anhui,31.8257,117.2264,15,0,0,15,Anhui,2020-01-24,Chine,15
Mainland China Anhui,31.8257,117.2264,39,0,0,39,Anhui,2020-01-25,Chine,39
Mainland China Anhui,31.8257,117.2264,60,0,0,60,Anhui,2020-01-26,Chine,60
Mainland China Anhui,31.8257,117.2264,70,0,0,70,Anhui,2020-01-27,Chine,70
Mainland China Anhui,31.8257,117.2264,106,0,0,106,Anhui,2020-01-28,Chine,106
Mainland China Anhui,31.8257,117.2264,152,0,2,150,Anhui,2020-01-29,Chine,152
Mainland China Anhui,31.8257,117.2264,200,0,2,198,Anhui,2020-01-30,Chine,200
Mainland China Anhui,31.8257,117.2264,237,0,3,234,Anhui,2020-01-31,Chine,237
Mainland China Anhui,31.8257,117.2264,297,0,5,292,Anhui,2020-02-01,Chine,297
Mainland China Anhui,31.8257,117.2264,340,0,7,333,Anhui,2020-02-02,Chine,340
Mainland China Anhui,31.8257,117.2264,408,0,14,394,Anhui,2020-02-03,Chine,408
Mainland China Anhui,31.8257,117.2264,480,0,20,460,Anhui,2020-02-04,Chine,480
Mainland China Anhui,31.8257,117.2264,530,0,23,507,Anhui,2020-02-05,Chine,530
Mainland China Anhui,31.8257,117.2264,591,0,34,557,Anhui,2020-02-06,Chine,591
Mainland China Anhui,31.8257,117.2264,665,0,47,618,Anhui,2020-02-07,Chine,665
Mainland China Anhui,31.8257,117.2264,733,0,59,674,Anhui,2020-02-08,Chine,733
Mainland China Anhui,31.8257,117.2264,779,1,72,706,Anhui,2020-02-09,Chine,779
Mainland China Anhui,31.8257,117.2264,830,3,88,739,Anhui,2020-02-10,Chine,830
Mainland China Anhui,31.8257,117.2264,860,4,105,751,Anhui,2020-02-11,Chine,860
Mainland China Anhui,31.8257,117.2264,889,4,127,758,Anhui,2020-02-12,Chine,889
Mainland China Anhui,31.8257,117.2264,910,5,157,748,Anhui,2020-02-13,Chine,910
Mainland China Anhui,31.8257,117.2264,934,6,193,735,Anhui,2020-02-14,Chine,934
Mainland China Anhui,31.8257,117.2264,950,6,221,723,Anhui,2020-02-15,Chine,950
Mainland China Anhui,31.8257,117.2264,962,6,255,701,Anhui,2020-02-16,Chine,962
Mainland China Anhui,31.8257,117.2264,973,6,280,687,Anhui,2020-02-17,Chine,973
Mainland China Anhui,31.8257,117.2264,982,6,361,615,Anhui,2020-02-18,Chine,982
Mainland China Anhui,31.8257,117.2264,986,6,413,567,Anhui,2020-02-19,Chine,986
Mainland China Anhui,31.8257,117.2264,987,6,474,507,Anhui,2020-02-20,Chine,987
Mainland China Anhui,31.8257,117.2264,988,6,539,443,Anhui,2020-02-21,Chine,988
Mainland China Anhui,31.8257,117.2264,989,6,597,386,Anhui,2020-02-22,Chine,989
Mainland China Anhui,31.8257,117.2264,989,6,637,346,Anhui,2020-02-23,Chine,989
Mainland China Anhui,31.8257,117.2264,989,6,663,320,Anhui,2020-02-24,Chine,989
Mainland China Anhui,31.8257,117.2264,989,6,712,271,Anhui,2020-02-25,Chine,989
Mainland China Anhui,31.8257,117.2264,989,6,744,239,Anhui,2020-02-26,Chine,989
Mainland China Anhui,31.8257,117.2264,989,6,792,191,Anhui,2020-02-27,Chine,989
Mainland China Anhui,31.8257,117.2264,990,6,821,163,Anhui,2020-02-28,Chine,990
Mainland China Anhui,31.8257,117.2264,990,6,868,116,Anhui,2020-02-29,Chine,990
Mainland China Anhui,31.8257,117.2264,990,6,873,111,Anhui,2020-03-01,Chine,990
Mainland China Anhui,31.8257,117.2264,990,6,917,67,Anhui,2020-03-02,Chine,990
Mainland China Beijing,40.1824,116.4142,14,0,0,14,Beijing,2020-01-22,Chine,14
Mainland China Beijing,40.1824,116.4142,22,0,0,22,Beijing,2020-01-23,Chine,22
Mainland China Beijing,40.1824,116.4142,36,0,1,35,Beijing,2020-01-24,Chine,36
Mainland China Beijing,40.1824,116.4142,41,0,2,39,Beijing,2020-01-25,Chine,41
Mainland China Beijing,40.1824,116.4142,68,0,2,66,Beijing,2020-01-26,Chine,68
Mainland China Beijing,40.1824,116.4142,80,1,2,77,Beijing,2020-01-27,Chine,80
Mainland China Beijing,40.1824,116.4142,91,1,4,86,Beijing,2020-01-28,Chine,91
Mainland China Beijing,40.1824,116.4142,111,1,4,106,Beijing,2020-01-29,Chine,111
Mainland China Beijing,40.1824,116.4142,114,1,4,109,Beijing,2020-01-30,Chine,114
Mainland China Beijing,40.1824,116.4142,139,1,5,133,Beijing,2020-01-31,Chine,139
Mainland China Beijing,40.1824,116.4142,168,1,9,158,Beijing,2020-02-01,Chine,168
Mainland China Beijing,40.1824,116.4142,191,1,9,181,Beijing,2020-02-02,Chine,191
Mainland China Beijing,40.1824,116.4142,212,1,12,199,Beijing,2020-02-03,Chine,212
Mainland China Beijing,40.1824,116.4142,228,1,23,204,Beijing,2020-02-04,Chine,228
Mainland China Beijing,40.1824,116.4142,253,1,24,228,Beijing,2020-02-05,Chine,253
Mainland China Beijing,40.1824,116.4142,274,1,31,242,Beijing,2020-02-06,Chine,274
